,City,Latitude,Longitude,Temperature,Humidity,Clouds,Wind Speed
0,ostrovnoy,68.05,39.51,50.47,93,63,9.06
1,mahebourg,-20.41,57.7,71.6,88,75,5.82
2,qaanaaq,77.48,-69.36,41.09,66,1,1.83
3,zhuhai,22.28,113.57,81.61,88,40,21.92
4,cape town,-33.93,18.42,53.91,93,0,6.93
5,atuona,-9.8,-139.03,79.86,64,21,21.7
6,flinders,-34.58,150.86,43.43,87,61,1.01
7,opuwo,-18.06,13.84,63.28,29,0,8.63
8,tiksi,71.69,128.87,38.98,91,53,2.84
9,pushkinskiye gory,57.02,28.91,54.41,97,74,6.42
10,aykhal,66.0,111.5,57.2,62,0,6.71
11,castro,-24.79,-50.01,60.35,74,67,6.71
12,avarua,-21.21,-159.78,64.4,88,8,1.12
13,saskylakh,71.92,114.08,54.18,75,10,4.03
14,constitucion,-35.33,-72.42,58.23,62,100,5.99
15,albany,42.6,-73.97,85.53,38,13,3.76
16,vilyuysk,63.76,121.62,53.11,68,0,3.89
17,ushuaia,-54.8,-68.3,39.2,69,40,8.05
18,bambous virieux,-20.34,57.76,70.36,88,75,5.82
19,kodinsk,58.69,99.18,56.37,91,20,2.68
20,teknaf,20.86,92.31,81.03,87,100,3.27
21,busselton,-33.65,115.33,46.26,83,80,2.89
22,ambon,-3.7,128.18,77.0,15,71,1.01
23,maragogi,-9.01,-35.22,76.19,82,43,11.36
24,fallon,39.47,-118.78,91.2,10,1,3.36
25,kantang,7.41,99.52,79.05,87,100,10.51
26,colonelganj,27.13,81.7,84.34,76,84,2.64
27,punta arenas,-53.15,-70.92,37.2,82,75,16.11
28,rikitea,-23.12,-134.97,73.99,84,93,9.84
29,new norfolk,-42.78,147.06,45.79,82,100,3.42
30,gobabis,-22.45,18.97,64.4,20,0,4.7
31,qingdao,36.1,120.37,77.0,100,40,6.71
32,port hardy,50.7,-127.42,60.8,82,75,3.36
33,arman,59.7,150.17,50.05,64,0,10.56
34,mamakan,57.82,114.0,57.36,85,56,2.53
35,bethel,41.37,-73.41,80.19,61,20,5.82
36,clinton,42.59,-82.92,81.81,47,75,9.17
37,varhaug,58.61,5.65,64.4,77,100,3.36
38,ayan,56.45,138.17,55.13,88,100,1.3
39,mayor pablo lagerenza,-19.93,-60.77,91.92,22,0,9.04
40,hermanus,-34.42,19.23,53.01,92,0,1.45
41,torbay,47.67,-52.73,62.91,82,75,5.82
42,yellowknife,62.46,-114.35,68.99,60,75,9.17
43,kruisfontein,-34.0,24.73,53.01,87,0,4.68
44,puerto ayora,-0.74,-90.35,75.85,57,40,10.29
45,rosita,13.93,-84.4,93.02,49,100,5.08
46,beloha,-25.17,45.05,64.11,77,78,9.55
47,port elizabeth,-33.92,25.57,53.01,86,0,4.79
48,port alfred,-33.59,26.89,58.55,72,0,1.88
49,garchitorena,13.88,123.69,79.81,81,100,3.83
50,kodiak,57.79,-152.41,55.4,93,90,4.7
51,mar del plata,-38.0,-57.56,57.09,51,0,6.93
52,taybad,34.74,60.78,70.9,32,0,16.22
53,cabo san lucas,22.89,-109.91,86.92,48,20,8.05
54,tiarei,-17.53,-149.33,77.0,78,90,12.75
55,khatanga,71.97,102.5,60.08,59,0,10.71
56,pisco,-13.7,-76.22,62.76,82,75,8.05
57,kolyvan,55.31,82.74,57.2,100,75,4.47
58,hofn,64.25,-15.21,53.6,87,90,19.46
59,bontang,0.13,117.5,74.98,93,100,5.77
60,sault sainte marie,46.52,-84.33,75.54,57,76,8.05
